"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 25 19:53:33 UTC 2022","Tue Jan 25 19:53:43 UTC 2022","9333","","specs/critical-css.test.js","Critical CSS module","","","Critical CSS should be generated with an error (advanced recommendations)",""
"passed","Tue Jan 25 19:57:55 UTC 2022","Tue Jan 25 19:58:07 UTC 2022","11865","","specs/speed-score.test.js","Speed Score feature","","","The Speed Score section should display a mobile and desktop speed score greater than zero",""
"passed","Tue Jan 25 19:53:43 UTC 2022","Tue Jan 25 19:53:45 UTC 2022","2140","","specs/critical-css.test.js","Critical CSS module","","","User can access the Critical advanced recommendations and go back to settings page",""
"passed","Tue Jan 25 19:52:45 UTC 2022","Tue Jan 25 19:52:53 UTC 2022","7518","","specs/connection.test.js","Settings Page Connection","","","Should connect to WP.com on a fresh install with Jetpack plugin activated and Jetpack already connected",""
"passed","Tue Jan 25 19:53:20 UTC 2022","Tue Jan 25 19:53:23 UTC 2022","3267","","specs/critical-css.test.js","Critical CSS module","","","Critical CSS meta information should show on the admin when the module is re-activated",""
"passed","Tue Jan 25 19:53:56 UTC 2022","Tue Jan 25 19:54:01 UTC 2022","4966","","specs/jetpack-compatibility.test.js","Jetpack compatibility","","","The Jetpack lazy-image module deactivation reflects in Boost dashboard",""
"passed","Tue Jan 25 19:54:36 UTC 2022","Tue Jan 25 19:54:37 UTC 2022","88","","specs/modules-common.test.js","Modules","","","The lazy-images module should be disabled by default",""
"passed","Tue Jan 25 19:53:51 UTC 2022","Tue Jan 25 19:53:56 UTC 2022","5753","","specs/jetpack-compatibility.test.js","Jetpack compatibility","","","The Jetpack lazy-image module activation reflects in Boost dashboard",""
"passed","Tue Jan 25 19:53:23 UTC 2022","Tue Jan 25 19:53:24 UTC 2022","222","","specs/critical-css.test.js","Critical CSS module","","","Critical CSS should be available on the frontend when the module is active",""
"passed","Tue Jan 25 19:54:43 UTC 2022","Tue Jan 25 19:54:46 UTC 2022","2828","","specs/render-blocking-js.test.js","Render Blocking JS module","","","JavaScript on a post should be at its original position in the document when the module is inactive",""
"passed","Tue Jan 25 19:57:51 UTC 2022","Tue Jan 25 19:57:55 UTC 2022","4109","","specs/score-auto-refresh.test.js","Auto refresh of speed scores","","","Score refresh should debounce between multiple module toggle",""
"passed","Tue Jan 25 19:53:13 UTC 2022","Tue Jan 25 19:53:20 UTC 2022","6803","","specs/critical-css.test.js","Critical CSS module","","","Critical CSS should be generated when the module is active",""
"passed","Tue Jan 25 19:53:24 UTC 2022","Tue Jan 25 19:53:33 UTC 2022","9961","","specs/critical-css.test.js","Critical CSS module","","","Critical CSS Admin message should show when the theme is changed",""
"passed","Tue Jan 25 19:54:08 UTC 2022","Tue Jan 25 19:54:14 UTC 2022","5737","","specs/jetpack-compatibility.test.js","Jetpack compatibility","","","The Boost lazy-image module deactivation reflects in Jetpack dashboard",""
"passed","Tue Jan 25 19:54:35 UTC 2022","Tue Jan 25 19:54:36 UTC 2022","327","","specs/modules-common.test.js","Modules","","","The critical-css module state should toggle to an inverse state",""
"passed","Tue Jan 25 19:53:11 UTC 2022","Tue Jan 25 19:53:13 UTC 2022","1780","","specs/critical-css.test.js","Critical CSS module","","","No Critical CSS should be available on the frontend when the module is inactive",""
"passed","Tue Jan 25 19:52:17 UTC 2022","Tue Jan 25 19:52:22 UTC 2022","4677","","specs/common.test.js","","","","Click on the plugins page should navigate to Boost settings page",""
"passed","Tue Jan 25 19:52:22 UTC 2022","Tue Jan 25 19:52:24 UTC 2022","2655","","specs/common.test.js","","","","Click on the sidebar Boost Jetpack submenu should navigate to Boost settings page",""
"passed","Tue Jan 25 19:54:38 UTC 2022","Tue Jan 25 19:54:38 UTC 2022","49","","specs/modules-common.test.js","Modules","","","The render-blocking-js module should be disabled by default",""
"passed","Tue Jan 25 19:56:57 UTC 2022","Tue Jan 25 19:57:51 UTC 2022","53938","","specs/score-auto-refresh.test.js","Auto refresh of speed scores","","","Enabling render-blocking-js should refresh scores",""
