"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 29 02:58:08 UTC 2021","Mon Nov 29 02:58:09 UTC 2021","1624","","specs/jetpack-boost/modules-common.test.js","Modules","","","The render-blocking-js module state should toggle to an inverse state",""
"passed","Mon Nov 29 02:58:01 UTC 2021","Mon Nov 29 02:58:05 UTC 2021","3372","","specs/jetpack-boost/modules-common.test.js","Modules","","","The lazy-images module state should toggle to an inverse state",""
"passed","Mon Nov 29 02:57:43 UTC 2021","Mon Nov 29 02:57:45 UTC 2021","1820","","specs/homepage.test.js","Homepage","","","Should display ""HelloWord"" text on page",""
"passed","Mon Nov 29 02:58:11 UTC 2021","Mon Nov 29 02:58:12 UTC 2021","1391","","specs/jetpack-boost/speed-score.test.js","Speed Score feature","","","Should display a mobile and desktop speed score greater than zero",""
"passed","Mon Nov 29 02:58:00 UTC 2021","Mon Nov 29 02:58:01 UTC 2021","1362","","specs/jetpack-boost/modules-common.test.js","Modules","","","The lazy-images module should be enabled by default",""
"passed","Mon Nov 29 02:57:53 UTC 2021","Mon Nov 29 02:57:55 UTC 2021","2031","","specs/jetpack-boost/modules-common.test.js","Modules","","","The critical-css module should be disabled by default",""
"passed","Mon Nov 29 02:58:09 UTC 2021","Mon Nov 29 02:58:11 UTC 2021","1457","","specs/jetpack-boost/modules-common.test.js","Modules","","","The render-blocking-js module state should revert back to original state",""
"skipped","Mon Nov 29 02:57:46 UTC 2021","Mon Nov 29 02:57:46 UTC 2021","0","","specs/homepage.test.js","Homepage","","","Should be ready",""
"passed","Mon Nov 29 02:57:45 UTC 2021","Mon Nov 29 02:57:46 UTC 2021","1236","","specs/homepage.test.js","Homepage","","","Should include the jetpack boost meta tag(s)",""
"passed","Mon Nov 29 02:57:55 UTC 2021","Mon Nov 29 02:57:57 UTC 2021","1979","","specs/jetpack-boost/modules-common.test.js","Modules","","","The critical-css module state should toggle to an inverse state",""
"passed","Mon Nov 29 02:58:06 UTC 2021","Mon Nov 29 02:58:08 UTC 2021","1309","","specs/jetpack-boost/modules-common.test.js","Modules","","","The render-blocking-js module should be disabled by default",""
"passed","Mon Nov 29 02:58:05 UTC 2021","Mon Nov 29 02:58:06 UTC 2021","1567","","specs/jetpack-boost/modules-common.test.js","Modules","","","The lazy-images module state should revert back to original state",""
"passed","Mon Nov 29 02:57:57 UTC 2021","Mon Nov 29 02:58:00 UTC 2021","3359","","specs/jetpack-boost/modules-common.test.js","Modules","","","The critical-css module state should revert back to original state",""
