"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 09 21:03:41 UTC 2022","Sun Jan 09 21:03:48 UTC 2022","7205","","specs/pre-connection/pre-connection.test.js","Jetpack pre-connection","","","Can find connect button on plugins page",""
"passed","Sun Jan 09 21:04:54 UTC 2022","Sun Jan 09 21:05:14 UTC 2022","19784","","specs/post-connection/pro-blocks.test.js","Paid blocks","","","MailChimp Block",""
"passed","Sun Jan 09 21:04:17 UTC 2022","Sun Jan 09 21:04:35 UTC 2022","17490","","specs/post-connection/free-blocks.test.js","Free blocks","","","Eventbrite block",""
"passed","Sun Jan 09 21:05:53 UTC 2022","Sun Jan 09 21:06:10 UTC 2022","17697","","specs/post-connection/recommendations.test.js","","","","Recommendations (Jetpack Assistant)",""
"failed","Sun Jan 09 21:02:56 UTC 2022","Sun Jan 09 21:02:56 UTC 2022","0","","specs/post-connection/search-configure.test.js","Search Configure","","","Can configure search overlay",""
"passed","Sun Jan 09 21:03:48 UTC 2022","Sun Jan 09 21:03:51 UTC 2022","3172","","specs/pre-connection/pre-connection.test.js","Jetpack pre-connection","","","Can find connect button on dashboard page",""
"passed","Sun Jan 09 21:05:25 UTC 2022","Sun Jan 09 21:05:46 UTC 2022","21047","","specs/post-connection/pro-blocks.test.js","Paid blocks","","","WordAds block",""
"passed","Sun Jan 09 21:03:51 UTC 2022","Sun Jan 09 21:03:56 UTC 2022","4649","","specs/pre-connection/pre-connection.test.js","Jetpack pre-connection","","","Can find connect button on Jetpack page",""
"passed","Sun Jan 09 21:05:55 UTC 2022","Sun Jan 09 21:07:12 UTC 2022","76264","","specs/connection/connection.test.js","Connection","","","Classic",""
"passed","Sun Jan 09 21:05:14 UTC 2022","Sun Jan 09 21:05:25 UTC 2022","11221","","specs/post-connection/pro-blocks.test.js","Paid blocks","","","Pay with PayPal",""
"failed","Sun Jan 09 21:16:47 UTC 2022","Sun Jan 09 21:17:19 UTC 2022","32896","","specs/post-connection/search.test.js","Search","","","Can perform search with default settings",""
"passed","Sun Jan 09 21:03:45 UTC 2022","Sun Jan 09 21:03:56 UTC 2022","11662","","specs/post-connection/free-blocks.test.js","Free blocks","","","Pinterest block",""
"failed","Sun Jan 09 21:19:19 UTC 2022","Sun Jan 09 21:19:54 UTC 2022","34843","","specs/post-connection/search.test.js","Search","","","Can display different result formats",""
"passed","Sun Jan 09 21:04:32 UTC 2022","Sun Jan 09 21:05:55 UTC 2022","83379","","specs/connection/connection.test.js","Connection","","","Site only",""
"failed","Sun Jan 09 21:18:03 UTC 2022","Sun Jan 09 21:18:36 UTC 2022","33101","","specs/post-connection/search.test.js","Search","","","Can open and close overlay",""
