"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 10 19:24:00 UTC 2022","Mon Jan 10 19:24:00 UTC 2022","77","","specs/modules-common.test.js","Modules","","","The critical-css module should be disabled by default",""
"passed","Mon Jan 10 19:23:41 UTC 2022","Mon Jan 10 19:23:43 UTC 2022","2693","","specs/lazy-images.test.js","Lazy Images module","","","Images on a post should not be lazy loaded when the module is inactive",""
"passed","Mon Jan 10 19:22:12 UTC 2022","Mon Jan 10 19:22:20 UTC 2022","7714","","specs/critical-css.test.js","Critical CSS module","","","Critical CSS should be generated when the module is active",""
"passed","Mon Jan 10 19:23:03 UTC 2022","Mon Jan 10 19:23:10 UTC 2022","7583","","specs/jetpack-compatibility.test.js","Jetpack compatibility","","","The Jetpack lazy-image module activation reflects in Boost dashboard",""
"passed","Mon Jan 10 19:22:47 UTC 2022","Mon Jan 10 19:22:49 UTC 2022","2803","","specs/critical-css.test.js","Critical CSS module","","","User can access the Critical advanced recommendations and go back to settings page",""
"passed","Mon Jan 10 19:22:10 UTC 2022","Mon Jan 10 19:22:12 UTC 2022","2395","","specs/critical-css.test.js","Critical CSS module","","","No Critical CSS should be available on the frontend when the module is inactive",""
"passed","Mon Jan 10 19:23:17 UTC 2022","Mon Jan 10 19:23:25 UTC 2022","7669","","specs/jetpack-compatibility.test.js","Jetpack compatibility","","","The Boost lazy-image module activation reflects in Jetpack dashboard",""
"passed","Mon Jan 10 19:22:07 UTC 2022","Mon Jan 10 19:22:10 UTC 2022","2594","","specs/critical-css.test.js","Critical CSS module","","","No Critical CSS meta information should show on the admin when the module is inactive",""
"passed","Mon Jan 10 19:24:01 UTC 2022","Mon Jan 10 19:24:01 UTC 2022","46","","specs/modules-common.test.js","Modules","","","The lazy-images module should be disabled by default",""
"passed","Mon Jan 10 19:24:01 UTC 2022","Mon Jan 10 19:24:02 UTC 2022","896","","specs/modules-common.test.js","Modules","","","The lazy-images module state should toggle to an inverse state",""
"passed","Mon Jan 10 19:24:08 UTC 2022","Mon Jan 10 19:24:12 UTC 2022","3123","","specs/render-blocking-js.test.js","Render Blocking JS module","","","JavaScript on a post should be at its original position in the document when the module is inactive",""
