"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 15 21:37:17 UTC 2021","Wed Dec 15 21:37:20 UTC 2021","3151","","specs/pre-connection/pre-connection.test.js","Jetpack pre-connection","","","Can find connect button on dashboard page",""
"passed","Wed Dec 15 21:37:26 UTC 2021","Wed Dec 15 21:37:37 UTC 2021","11293","","specs/post-connection/free-blocks.test.js","Free blocks","","","Pinterest block",""
"passed","Wed Dec 15 21:37:10 UTC 2021","Wed Dec 15 21:37:17 UTC 2021","7040","","specs/pre-connection/pre-connection.test.js","Jetpack pre-connection","","","Can find connect button on plugins page",""
"passed","Wed Dec 15 21:38:37 UTC 2021","Wed Dec 15 21:38:59 UTC 2021","22462","","specs/post-connection/pro-blocks.test.js","Paid blocks","","","MailChimp Block",""
"passed","Wed Dec 15 21:37:20 UTC 2021","Wed Dec 15 21:37:24 UTC 2021","4452","","specs/pre-connection/pre-connection.test.js","Jetpack pre-connection","","","Can find connect button on Jetpack page",""
"passed","Wed Dec 15 21:40:48 UTC 2021","Wed Dec 15 21:41:02 UTC 2021","14023","","specs/post-connection/search.test.js","Search","","","Can open and close overlay",""
"passed","Wed Dec 15 21:40:31 UTC 2021","Wed Dec 15 21:40:48 UTC 2021","17020","","specs/post-connection/search.test.js","Search","","","Can perform search with default settings",""
"failed","Wed Dec 15 21:41:02 UTC 2021","Wed Dec 15 21:41:26 UTC 2021","24102","","specs/post-connection/search.test.js","Search","","","Can display different result formats",""
"passed","Wed Dec 15 21:39:37 UTC 2021","Wed Dec 15 21:39:56 UTC 2021","19158","","specs/post-connection/recommendations.test.js","","","","Recommendations (Jetpack Assistant)",""
"passed","Wed Dec 15 21:37:33 UTC 2021","Wed Dec 15 21:38:41 UTC 2021","67975","","specs/connection/connection.test.js","Connection","","","Site only",""
"passed","Wed Dec 15 21:38:41 UTC 2021","Wed Dec 15 21:40:00 UTC 2021","79240","","specs/connection/connection.test.js","Connection","","","Classic",""
"passed","Wed Dec 15 21:38:59 UTC 2021","Wed Dec 15 21:39:14 UTC 2021","14343","","specs/post-connection/pro-blocks.test.js","Paid blocks","","","Pay with PayPal",""
"passed","Wed Dec 15 21:37:59 UTC 2021","Wed Dec 15 21:38:16 UTC 2021","17261","","specs/post-connection/free-blocks.test.js","Free blocks","","","Eventbrite block",""
"passed","Wed Dec 15 21:39:14 UTC 2021","Wed Dec 15 21:39:31 UTC 2021","17899","","specs/post-connection/pro-blocks.test.js","Paid blocks","","","WordAds block",""
