"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jan 24 12:20:10 UTC 2022","Mon Jan 24 12:20:14 UTC 2022","3512","","specs/render-blocking-js.test.js","Render Blocking JS module","","","JavaScript on a post should be pushed at the bottom of the document when the module is active",""
"passed","Mon Jan 24 12:20:00 UTC 2022","Mon Jan 24 12:20:00 UTC 2022","308","","specs/modules-common.test.js","Modules","","","The lazy-images module state should toggle to an inverse state",""
"passed","Mon Jan 24 12:21:29 UTC 2022","Mon Jan 24 12:21:31 UTC 2022","1871","","specs/speed-score.test.js","Speed Score feature","","","Should be able to hover info icon next to overall score and see the detailed overall score description popin",""
"passed","Mon Jan 24 12:17:59 UTC 2022","Mon Jan 24 12:18:08 UTC 2022","9309","","specs/critical-css.test.js","Critical CSS module","","","Critical CSS should be generated when the module is active",""
"passed","Mon Jan 24 12:20:00 UTC 2022","Mon Jan 24 12:20:00 UTC 2022","310","","specs/modules-common.test.js","Modules","","","The lazy-images module state should revert back to original state",""
"passed","Mon Jan 24 12:19:07 UTC 2022","Mon Jan 24 12:19:15 UTC 2022","8102","","specs/jetpack-compatibility.test.js","Jetpack compatibility","","","The Jetpack lazy-image module deactivation reflects in Boost dashboard",""
"passed","Mon Jan 24 12:16:44 UTC 2022","Mon Jan 24 12:17:12 UTC 2022","27739","","specs/common.test.js","","","","Deactivating the plugin should clear Critical CSS and Dismissed Recommendation notice option",""
"passed","Mon Jan 24 12:17:54 UTC 2022","Mon Jan 24 12:17:57 UTC 2022","2654","","specs/critical-css.test.js","Critical CSS module","","","No Critical CSS meta information should show on the admin when the module is inactive",""
"passed","Mon Jan 24 12:21:15 UTC 2022","Mon Jan 24 12:21:29 UTC 2022","14032","","specs/speed-score.test.js","Speed Score feature","","","The Speed Scores should be able to refresh",""
"passed","Mon Jan 24 12:20:01 UTC 2022","Mon Jan 24 12:20:01 UTC 2022","323","","specs/modules-common.test.js","Modules","","","The render-blocking-js module state should revert back to original state",""
"passed","Mon Jan 24 12:19:58 UTC 2022","Mon Jan 24 12:19:58 UTC 2022","530","","specs/modules-common.test.js","Modules","","","The critical-css module state should toggle to an inverse state",""
