"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 26 14:39:52 UTC 2021","Tue Oct 26 14:39:55 UTC 2021","3328","specs","","pre-connection.test.js","","","Can find connect button on Jetpack page","
### Test
```typescript
async () => {
  await (await _wpAdmin.Sidebar.init(page)).selectJetpack();
  const jetpackPage = await _wpAdmin.JetpackPage.init(page);

  expect(await jetpackPage.isConnectScreenVisible()).toBeTruthy();
};

```
"
"passed","Tue Oct 26 14:59:48 UTC 2021","Tue Oct 26 14:59:56 UTC 2021","8116","specs","","search.test.js","","","Can display different result formats","
### Test
```typescript
async () => {
  await (0, _reporters.testStep)(""Can use minimal format"", async () => {
    await homepage.goto(`${siteUrl}?result_format=minimal`);
    await homepage.waitForPage();
    await homepage.waitForNetworkIdle();
    await homepage.focusSearchInput();
    await homepage.enterQuery(""random-string-1"");
    await homepage.waitForSearchResponse();

    expect(await homepage.isOverlayVisible()).toBeTruthy();
    expect(await homepage.isResultFormat(""is-format-minimal"")).toBeTruthy();
  });
  await (0, _reporters.testStep)(""Can use product format"", async () => {
    await homepage.goto(`${siteUrl}?result_format=product`);
    await homepage.waitForPage();
    await homepage.waitForNetworkIdle();
    await homepage.focusSearchInput();
    await homepage.enterQuery(""random-string-2"");
    await homepage.waitForSearchResponse();
    expect(await homepage.isOverlayVisible()).toBeTruthy();
    expect(await homepage.isResultFormat(""is-format-product"")).toBeTruthy();
    expect(await homepage.isProductImageVisible()).toBeTruthy();
    expect(await homepage.isProductPriceVisible()).toBeTruthy();
  });
  await (0, _reporters.testStep)(""Can use expanded format"", async () => {
    await homepage.goto(`${siteUrl}?result_format=expanded&s=random-string-3`);
    await homepage.waitForPage();
    await homepage.waitForNetworkIdle();
    expect(await homepage.isOverlayVisible()).toBeTruthy();
    expect(await homepage.isResultFormat(""is-format-expanded"")).toBeTruthy();
    expect(await homepage.isExpandedImageVisible()).toBeTruthy();
  });
};

```
"
"skipped","Tue Oct 26 14:39:22 UTC 2021","Tue Oct 26 14:39:22 UTC 2021","60","specs","","plugin-updater.test.js","","","Plugin updater","
### Test
```typescript
async () => {
  await (0, _reporters.testStep)(
    ""Can login and navigate to Plugins page"",
    async () => {
      await (await _wpAdmin.Sidebar.init(page)).selectInstalledPlugins();
      await _wpAdmin.PluginsPage.init(page);
    }
  );
  await (0, _reporters.testStep)(""Can update Jetpack"", async () => {
    const pluginsPage = await _wpAdmin.PluginsPage.init(page); // const versionBefore = await pluginsPage.getJetpackVersion();

    await pluginsPage.updateJetpack(); // const versionAfter = await pluginsPage.getJetpackVersion();
    //
    expect(versionBefore).not.toBe(versionAfter);
  });
  await (0, _reporters.testStep)(""Can connect Jetpack"", async () => {
    await (await _wpAdmin.Sidebar.init(page)).selectJetpack();
    await (0, _flows.doClassicConnection)();
    const jetpackPage = await _wpAdmin.JetpackPage.init(page);
    expect(await jetpackPage.isConnected()).toBeTruthy();
  });
};

```
"
"passed","Tue Oct 26 14:55:40 UTC 2021","Tue Oct 26 14:56:14 UTC 2021","33964","specs","","connection.test.js","","","Classic","
### Test
```typescript
async () => {
  await (0, _reporters.testStep)(""Can start classic connection"", async () => {
    await (0, _flows.doClassicConnection)(true);
  });
  await (0, _reporters.testStep)(
    ""Can assert that site is connected"",
    async () => {
      const jetpackPage = await _wpAdmin.JetpackPage.init(page);

      expect(await jetpackPage.isConnected()).toBeTruthy();
    }
  );
};

```
"
"passed","Tue Oct 26 14:39:49 UTC 2021","Tue Oct 26 14:39:51 UTC 2021","1410","specs","","pre-connection.test.js","","","Can find connect button on dashboard page","
### Test
```typescript
async () => {
  await (await _wpAdmin.Sidebar.init(page)).selectDashboard();
  const dashboard = await _wpAdmin.DashboardPage.init(page);

  expect(await dashboard.isConnectBannerVisible()).toBeTruthy();
};

```
"
"passed","Tue Oct 26 14:54:53 UTC 2021","Tue Oct 26 14:55:24 UTC 2021","30313","specs","","connection.test.js","","","Site only","
### Test
```typescript
async () => {
  await (0, _reporters.testStep)(""Can clean up WPCOM cookie"", async () => {
    await (
      await _wpAdmin.Sidebar.init(page)
    ).removeCookieByName(""wordpress_logged_in"");
  });
  await (0, _reporters.testStep)(
    ""Can start Site Level connection"",
    async () => {
      await (0, _flows.doSiteLevelConnection)();
    }
  );
  await (0, _reporters.testStep)(
    ""Can assert that site is connected"",
    async () => {
      const jetpackPage = await _wpAdmin.JetpackPage.init(page);

      expect(await jetpackPage.isConnected()).toBeTruthy();
    }
  );
};

```
"
"passed","Tue Oct 26 14:39:43 UTC 2021","Tue Oct 26 14:39:48 UTC 2021","5092","specs","","pre-connection.test.js","","","Can find connect button on plugins page","
### Test
```typescript
async () => {
  await (await _wpAdmin.Sidebar.init(page)).selectInstalledPlugins();
  const pluginsPage = await _wpAdmin.PluginsPage.init(page);
  await (0, _utilsHelper.execWpCommand)(
    ""transient set activated_jetpack true 120""
  );
  await pluginsPage.reload();

  expect(await pluginsPage.isFullScreenPopupShown()).toBeTruthy();
};

```
"
"passed","Tue Oct 26 14:59:46 UTC 2021","Tue Oct 26 14:59:46 UTC 2021","579","specs","","search.test.js","","","Can open and close overlay","
### Test
```typescript
async () => {
  await (0, _reporters.testStep)(
    ""Can press enter to to open overlay"",
    async () => {
      await homepage.pressEnterInSearchInput();
      await homepage.waitForSearchResponse();

      expect(await homepage.isOverlayVisible()).toBeTruthy();
    }
  );
  await (0, _reporters.testStep)(
    ""Can click the cross to close the overlay"",
    async () => {
      await homepage.clickCrossToCloseOverlay();
      expect(await homepage.isOverlayVisible()).toBeFalsy();
    }
  );
};

```
"
"passed","Tue Oct 26 14:59:35 UTC 2021","Tue Oct 26 14:59:44 UTC 2021","8653","specs","","search.test.js","","","Can perform search with default settings","
### Test
```typescript
async () => {
  await (0, _reporters.testStep)(
    ""Can open the overlay by entering a query"",
    async () => {
      await homepage.focusSearchInput();
      await homepage.enterQuery();
      await homepage.waitForSearchResponse();

      expect(await homepage.isOverlayVisible()).toBeTruthy();
    }
  );
  await (0, _reporters.testStep)(
    ""Can show search controls in the overlay"",
    async () => {
      expect(await homepage.isSearchFormVisible()).toBeTruthy();
      expect(await homepage.isSortingVisible()).toBeTruthy();
      expect(await homepage.isFilteringOptionsVisible()).toBeTruthy();
    }
  );
  await (0, _reporters.testStep)(
    ""Can show search results in the overlay"",
    async () => {
      expect(await homepage.isSearchResultVisible()).toBeTruthy();
    }
  );
  await (0, _reporters.testStep)(
    ""Can sort results by relevance by default"",
    async () => {
      expect(await homepage.getFirstResultTitle()).toBe(
        ""<mark>Test1</mark> Record 1""
      );
    }
  );
  await (0, _reporters.testStep)(""Can edit query in search form"", async () => {
    await homepage.enterQueryToOverlay(""test2"");
    await homepage.waitForSearchResponse();
    expect(await homepage.getFirstResultTitle()).toBe(
      ""<mark>Test2</mark> Record 1""
    );
  });
  await (0, _reporters.testStep)(""Can change sort order"", async () => {
    await homepage.chooseSortingLink(""newest"");
    await homepage.waitForSearchResponse();
    expect(await homepage.isSortingLinkSelected(""newest"")).toBeTruthy();
    expect(await homepage.getFirstResultTitle()).toBe(
      ""<mark>Test2</mark> Record 3""
    );
    await homepage.chooseSortingLink(""oldest"");
    await homepage.waitForSearchResponse();
    expect(await homepage.isSortingLinkSelected(""oldest"")).toBeTruthy();
    expect(await homepage.getFirstResultTitle()).toBe(
      ""<mark>Test2</mark> Record 2""
    );
  });
  await (0, _reporters.testStep)(""Can apply filters"", async () => {
    await homepage.clickFilterCategory2();
    await homepage.waitForSearchResponse();
    expect(await homepage.getFirstResultTitle()).toBe(
      ""<mark>Test2</mark> Record 2""
    );
    await homepage.clickFilterCategory2();
    await homepage.clickFilterTag3();
    await homepage.waitForSearchResponse();
    expect(await homepage.getFirstResultTitle()).toBe(
      ""<mark>Test2</mark> Record 3""
    );
  });
  await (0, _reporters.testStep)(
    ""Can close overlay by clicking the cross"",
    async () => {
      await homepage.clickCrossToCloseOverlay();
      expect(await homepage.isOverlayVisible()).toBeFalsy();
    }
  );
};

```
"
